Sample,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,Media
S22,2,0.822428766,0.000198815,0.395578653,21.05118306,1.752236063,61.76954977,62.37448611,0.233107653,M9
S22,3,1.239904979,0.002241436,0.259449972,24.33557398,2.671602445,89.04440551,89.46506944,0.118448259,M9
S34,1,1.20064917,0.11211505,0.084583095,26.8737111,8.194866636,81.83506177,81.18198611,0.086259262,M9
S34,2,1.159789776,0.092480634,0.098437052,24.84731746,7.041527234,81.73692978,81.13211111,0.081214836,M9
S34,3,1.016122151,0.034511177,0.156205322,21.43276419,4.437410785,75.70530548,75.63202778,0.061296551,M9
S391,1,1.428494895,0.028764223,0.200406528,19.38511076,3.458705592,109.5247671,109.0884861,0.032829958,M9
S391,2,1.450707015,0.027377638,0.225080136,17.55387025,3.07955732,113.9088457,113.3732361,0.058451286,M9
S391,3,1.407547051,0.022557738,0.242338075,16.99018836,2.860248766,111.3386603,110.893125,0.053409525,M9
S10,1,1.40011904,0.029403973,0.278733714,13.7836144,2.486771949,115.2274018,114.9441944,0.029079215,M9
S10,2,1.400281978,0.028150257,0.281325421,13.81519072,2.463862593,115.2021394,114.9179028,0.029886285,M9
S10,3,1.403840912,0.027408959,0.282604623,13.85815958,2.452709985,115.4380148,115.1513611,0.030254527,M9
S27,1,0.49203142,2.81750690127819e-05,0.160387682,60.90120473,4.321698339,17.35802356,17.405,0.006409452,M9
S27,2,0.698760335,4.66980914347298e-05,0.163836452,58.67615465,4.230726277,26.19975315,26.39881944,0.00753466,M9
S27,3,0.744444817,3.10638337575856e-05,0.173868055,57.99977487,3.986627567,28.41217902,28.74079167,0.012291799,M9
S491,1,1.639194525,0.045922497,0.215788233,16.43551131,3.212163943,130.4649076,130.0562778,0.039440858,M9
S491,2,1.675314437,0.048382675,0.21182145,16.59562506,3.272318172,133.0603131,132.6385417,0.04192263,M9
S491,3,1.650966554,0.049142641,0.202890531,17.17266489,3.41636043,130.1563485,129.7513611,0.036631497,M9
S11,1,1.166616008,0.037488841,0.207348152,16.42241251,3.342914684,92.83710774,92.43954167,0.081449208,M9
S11,2,1.347657437,0.077486977,0.14599868,19.15631362,4.747626352,103.2254843,102.5772083,0.097023183,M9
S11,3,1.412662351,0.073975944,0.152109313,19.03699443,4.556901644,108.4465636,107.7569583,0.092028464,M9
S28,1,0.040920075,0.000890829,0.073174301,52.00203734,9.472549342,1.816230727,1.818986111,0.000461436,M9
S28,2,0.058218909,0.001225188,0.065822862,58.33607091,10.53049294,2.253623373,2.248569444,0.00052757,M9
S28,3,0.090149326,0.00180614,0.055365909,70.26050986,12.51938594,2.64983392,2.636486111,0.00074252,M9
S2,1,1.405692181,0.024379448,0.185604361,21.75083106,3.734541462,104.4611572,104.0304444,0.036380641,M9
S2,2,1.475733942,0.021722681,0.1965968,21.38246646,3.525729728,110.2375631,109.8785833,0.066461912,M9
S2,3,1.479498616,0.021726568,0.198007529,21.24226658,3.500610224,110.7272692,110.3248611,0.052720292,M9
S14,1,1.774969493,0.186590228,0.139173556,15.38765396,4.980451737,141.9486312,141.5585833,0.07704708,M9
S14,2,1.807550479,0.20954131,0.125490054,16.18927477,5.523522868,142.7734726,142.3313611,0.088754363,M9
S14,3,1.789073186,0.176948851,0.143833953,15.3610972,4.819078982,143.2563804,142.8000417,0.074598583,M9
S29,1,1.617333333,0.211946212,0.241846631,7.822046307,2.866060929,141.9294158,141.1511667,0.105414092,M9
S29,2,1.613333333,0.210500603,0.242926596,7.80795667,2.853319452,141.6096556,140.6202083,0.107291617,M9
S29,3,1.629218513,0.221557992,0.231184946,7.997925739,2.998236663,142.6020094,142.155,0.105691591,M9
S5,1,1.631879309,0.047406806,0.321091549,10.92909805,2.158721348,138.9335427,138.637625,0.071677922,M9
S5,2,1.635677391,0.056604422,0.299436218,11.11591024,2.314840822,138.9091293,138.55,0.059833663,M9
S5,3,1.633673887,0.060893938,0.293222645,11.08872872,2.363893757,138.7638972,138.3892361,0.063281714,M9
S16,1,1.194726072,0.015162024,0.350724433,12.4146079,1.976329892,100.0069731,99.84498611,0.079186229,M9
S16,2,1.201369545,0.019205386,0.327476049,12.58080196,2.116634734,100.3480467,100.167625,0.078811089,M9
S16,3,1.196990609,0.020017251,0.315968122,12.8940444,2.193725037,99.60235162,99.41333333,0.080431384,M9
S30,1,1.704179443,0.117778812,0.212919107,12.21315748,3.255448465,142.4839635,142.0575278,0.058185007,M9
S30,2,1.703715725,0.113060854,0.219223046,12.06066119,3.161835374,142.7444096,142.3342083,0.056170932,M9
S30,3,1.696596107,0.110332573,0.222454414,11.98284768,3.115906623,142.2984893,141.8798611,0.055942082,M9
S6,1,1.282814708,0.014066588,0.227879565,19.75597768,3.041725927,97.94764026,97.83694444,0.061741322,M9
S6,2,1.222959668,0.004664052,0.297067981,18.73417477,2.333294814,94.67055322,94.81373611,0.076666436,M9
S6,3,1.263705778,0.007953957,0.270709123,18.69837314,2.560486965,97.85677346,97.84620833,0.046046824,M9
S17,2,0.901126071,3.95958638973953e-10,0.664120392,32.44231245,1.043707119,57.41591726,57.88751389,0.063102577,M9
S17,3,1.266702485,5.57231904322553e-10,0.688318152,31.30014315,1.007015693,82.15567883,82.71895833,0.065786749,M9
S31,1,1.526273688,0.05910567,0.187836337,17.09872802,3.690165555,120.3452537,119.731875,0.063445931,M9
S31,2,1.55492564,0.0658277,0.176415062,17.67924485,3.929070291,121.6474538,120.9808194,0.073437505,M9
S31,3,1.32988471,0.024345551,0.257044209,15.49158522,2.69660687,107.1815144,107.0139583,0.084586869,M9
S7,1,0.680118989,0.000719526,0.482387371,14.20097771,1.436909882,55.73907253,55.81698611,0.286097907,M9
S7,2,0.734033684,0.001495728,0.422449474,14.66187723,1.64078126,59.81739575,59.86569444,0.287493217,M9
S7,3,0.916618746,0.004947472,0.30848204,16.90990751,2.246961221,72.62425655,72.64894444,0.200720421,M9
S19,1,1.372119973,0.018451829,0.215955679,19.89023775,3.209673311,104.5625742,104.2502917,0.038260166,M9
S19,2,1.38013481,0.020755321,0.213429472,19.59420561,3.247663848,105.5704496,105.1624861,0.039065575,M9
S19,3,1.364801104,0.017669374,0.223528911,19.38854394,3.100928542,104.6955492,104.3376111,0.040370627,M9
S32,1,1.814676318,0.036027934,0.236793897,16.46712391,2.92721725,144.4595669,143.9495417,0.060127137,M9
S32,2,1.787682121,0.020855073,0.262683992,16.89993875,2.638711157,141.6084594,141.2760278,0.050326718,M9
S32,3,1.581412073,0.009250674,0.335505476,15.3067851,2.06597874,127.8315219,127.7702361,0.161420014,M9
