,Isolate,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,Media
176,S391,2,1.457278868,0.028603882,0.223399015,17.5066138,3.102731589,114.4877714,113.9817639,0.057863257,,M9wg
177,S391,3,1.414445828,0.023721994,0.240308345,16.94147153,2.884407449,111.9480148,111.5336806,0.052844896,,M9wg
178,S10,1,1.409684706,0.031417672,0.275568853,13.72147696,2.515332098,116.0942842,115.8409722,0.02817379,,M9wg
179,S10,2,1.408827453,0.02989419,0.278434835,13.76049569,2.489441313,115.9754192,115.7185972,0.029094203,,M9wg
180,S10,3,1.413409891,0.02932205,0.279365271,13.79719387,2.48115014,116.3035851,116.0481389,0.029375371,,M9wg
181,S27,1,0.49203142,2.82E-05,0.160387682,60.90120473,4.321698339,17.35802356,17.405,0.006409452,,M9wg
182,S27,2,0.699177066,4.74E-05,0.163600685,58.66928912,4.236823225,26.22025817,26.43084722,0.007628699,,M9wg
183,S27,3,0.744444817,3.11E-05,0.173868055,57.99977487,3.986627567,28.41217902,28.74079167,0.012291799,,M9wg
184,S491,1,1.650945383,0.049019502,0.213195652,16.3546658,3.251225694,131.5176283,131.1452222,0.038261785,,M9wg
185,S491,2,1.684311846,0.050793735,0.209908785,16.53441178,3.302135163,133.8653431,133.4712639,0.041040877,,M9wg
186,S491,3,1.66064618,0.051776791,0.200939059,17.10142864,3.449539301,131.02331,130.6481389,0.035588453,,M9wg
187,S11,1,1.171454496,0.038802079,0.20602461,16.37592522,3.364390205,93.26960882,92.88793056,0.081217512,,M9wg
188,S11,2,1.35673507,0.080850021,0.144767513,19.05675844,4.788002269,104.0303526,103.4099306,0.096430686,,M9wg
189,S11,3,1.41756343,0.075701099,0.15140926,18.98840967,4.57797087,108.879125,108.2053472,0.091667449,,M9wg
190,S28,1,0.04326736,0.001388525,0.065945391,51.65696311,10.51092679,1.938020739,1.947097222,0.000622942,,M9wg
191,S28,2,0.058218909,0.001225188,0.065822862,58.33607091,10.53049294,2.253623373,2.248569444,0.00052757,,M9wg
192,S28,3,0.091440733,0.001934467,0.054355867,70.54393817,12.75202134,2.679580248,2.668513889,0.000683461,,M9wg
193,S2,1,1.414488543,0.026016632,0.183519216,21.6719706,3.776973309,105.2166376,104.8311389,0.035394499,,M9wg
194,S2,2,1.48373069,0.023007041,0.194755883,21.31328132,3.559056443,110.9304339,110.6152222,0.06605065,,M9wg
195,S2,3,1.487224361,0.02302544,0.196059668,21.17959263,3.535388941,111.3914402,111.0294722,0.052164008,,M9wg
196,S14,1,1.783783765,0.191216301,0.138527142,15.30167639,5.003692213,142.7703825,142.3913056,0.076597599,,M9wg
197,S14,2,1.817087269,0.214799085,0.124880604,16.09124906,5.550479088,143.6585406,143.2281389,0.088279019,,M9wg
198,S14,3,1.800007437,0.18257918,0.14292806,15.2622846,4.849622814,144.2661594,143.8249306,0.073944351,,M9wg
199,S29,1,1.635,0.219449992,0.241518685,7.718446504,2.86995261,143.6230855,142.8486389,0.104651063,,M9wg
200,S29,2,1.639,0.221353327,0.24208581,7.670806145,2.86322929,144.0483081,143.0863472,0.106192353,,M9wg
201,S29,3,1.645947271,0.230125369,0.229930113,7.901710757,3.014599396,144.1871827,143.7563889,0.10497959,,M9wg
202,S5,1,1.657933619,0.054095218,0.313830584,10.80012404,2.208666762,141.3425387,141.1037639,0.070661136,,M9wg
203,S5,2,1.659743716,0.063434585,0.293406625,10.99307223,2.362411481,141.1316058,140.8239722,0.058434414,,M9wg
204,S5,3,1.655383842,0.067325011,0.28793571,10.97722783,2.407298426,140.7682585,140.4390139,0.062025322,,M9wg
205,S16,1,1.201210992,0.016162472,0.347057559,12.37502795,1.997211018,100.5942076,100.4535139,0.079056435,,M9wg
206,S16,2,1.209214895,0.020607608,0.323618549,12.52980472,2.141864805,101.0602991,100.9042639,0.078636083,,M9wg
207,S16,3,1.202766247,0.021015624,0.313482002,12.853963,2.211122733,100.1277188,99.95780556,0.080296948,,M9wg
208,S30,1,1.718713987,0.123726844,0.211022564,12.11503001,3.284706474,143.8374283,143.4347222,0.05711854,,M9wg
209,S30,2,1.720615315,0.119872676,0.2169026,11.949109,3.195661006,144.3183515,143.9355972,0.054940632,,M9wg
210,S30,3,1.71214669,0.116501872,0.220266995,11.881607,3.146849946,143.7458753,143.3531389,0.054778813,,M9wg
211,S6,1,1.290372995,0.015062818,0.225488457,19.68488968,3.073980776,98.61171447,98.54155556,0.061626324,,M9wg
212,S6,2,1.228455863,0.005031701,0.293953196,18.68886214,2.358018864,95.15033232,95.32618056,0.076778492,,M9wg
213,S6,3,1.268545486,0.008417418,0.26841927,18.65985814,2.582330177,98.27852476,98.29459722,0.046047485,,M9wg
214,S17,1,1.799432343,0.054809511,0.07577491,45.66722623,9.147449783,90.63234359,89.49154167,0.186810009,,M9wg
215,S17,2,0.901126071,3.96E-10,0.664120392,32.44231245,1.043707119,57.41591726,57.88751389,0.063102577,,M9wg
